SOURCE_ID,RA,DEC,pmRA,pmDE,e_pmRA,e_pmDE,BTmag,e_BTmag,VTmag,e_VTmag,r,err_r,g,err_g,i,err_i,J,e_J,H,e_H,K,e_K,Qflg,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,proba,Teff,e_Teff,Lbol,e_Lbol
3247,59.11717442,23.15027442,16.8,-47.3,1.2,1.1,8.67,0.017,8.353,0.013,,,,,,,7.767,0.023,7.715,0.029,7.677,0.027,AAA,7.616,0.025,7.632,0.019,7.571,0.019,6.979,0.085,0.998217830262788,7250.0,125.0,5.8742437,0.9741421
3380,59.3901801,29.77796606,25.3,-45.3,2.4,2.5,11.972,0.093,11.145,0.071,10.906,0.1,11.428,0.031,10.647,0.048,9.707,0.022,9.331,0.019,9.254,0.016,AAA,9.187,0.024,9.247,0.021,9.156,0.032,8.24,0.252,0.968608290247861,5500.0,125.0,0.6640716,0.116977915
3474,59.59014855,21.25766659,24.9,-43.0,1.3,1.5,12.611,0.197,11.518,0.097,11.246,0.1,11.808,0.054,12.96,1.272,9.938,0.026,9.576,0.025,9.451,0.021,AAA,9.399,0.023,9.445,0.021,9.414,0.04,,,0.884213958244663,5250.0,125.0,0.49058133,0.0886182
4040,60.93404276,22.94428255,16.4,-45.7,1.1,1.2,10.479,0.047,9.744,0.034,9.504,0.1,10.286,0.082,11.474,1.374,8.519,0.035,8.262,0.02,8.183,0.024,AAA,8.136,0.024,8.171,0.022,8.18,0.022,8.011,0.21,0.941728076926324,5750.0,125.0,2.0600545,0.35562465
4055,60.97290333,19.07085265,21.4,-38.0,1.6,1.7,11.761,0.11,10.869,0.087,10.525,0.1,11.154,0.044,10.357,0.045,9.177,0.021,8.724,0.021,8.636,0.017,AAA,8.518,0.023,8.547,0.019,8.473,0.023,8.118,0.227,0.819147555365789,5000.0,125.0,0.98354805,0.17374389
4297,61.6517163,27.59990174,20.6,-51.0,0.8,0.8,5.011,0.014,5.151,0.009,,,,,,,5.361,0.032,5.408,0.031,5.433,0.02,AAA,5.424,0.062,5.325,0.03,5.475,0.014,4.681,0.028,0.969919728523075,11250.0,125.0,263.42697,41.02612
4450,62.23078059,20.38599953,19.8,-50.3,1.2,1.2,9.966,0.036,9.406,0.031,9.231,0.039000000804662704,10.244,0.031,9.113,0.087,8.378,0.02,8.194,0.018,8.113,0.026,AAA,8.095,0.023,8.117,0.021,8.119,0.021,8.271,0.297,0.774559332283083,6000.0,125.0,2.4929984,0.4317969
4516,62.49178473,21.13262144,22.2,-40.5,1.7,1.8,12.276,0.212,11.139,0.107,10.777,0.0010000000474974513,11.572,0.041,10.481,0.058,9.388,0.022,8.936,0.049,8.778,0.021,AAA,8.753,0.024,8.819,0.021,8.733,0.025,8.51,0.318,0.752719078978661,5000.0,125.0,0.7731058,0.1387446
4687,56.45340111,23.14714135,22.2,-47.5,1.1,1.0,6.934,0.015,6.911,0.01,,,,,,,6.701,0.018,6.732,0.017,6.816,9.995,AAF,6.581,0.038,6.64,0.019,6.716,0.016,6.875,0.116,0.993507234584051,8750.0,125.0,26.261063,4.2972407
4760,56.58155286,23.94834792,18.9,-46.7,0.8,0.8,4.085,0.014,4.152,0.009,,,,,,,4.233,0.24,4.309,0.154,4.22,0.016,DBE,4.217,0.087,3.821,0.057,4.159,0.014,3.003,0.039,0.999728912369513,10250.0,125.0,516.6506,82.95152
4782,57.29059475,24.05341343,18.9,-45.0,0.6,0.6,3.517,0.014,3.601,0.009,,,,,,,3.8,0.27,3.864,0.234,3.879,0.318,DDD,3.717,0.12,3.227,0.072,3.846,0.014,3.582,0.025,0.99998061547558,12000.0,125.0,1257.7227,197.17523
4797,56.30206106,24.46726881,20.1,-44.8,0.8,0.8,4.158,0.014,4.272,0.009,,,,,,,4.674,0.266,4.589,0.036,4.502,0.021,DEE,4.531,0.087,4.083,0.05,4.628,0.014,4.354,0.028,0.999940049709739,12250.0,125.0,721.9272,111.96274
4798,56.45669538,24.36775119,21.5,-43.9,0.8,0.8,3.775,0.014,3.849,0.009,,,,,,,4.059,0.276,4.122,0.036,3.986,0.017,DEE,3.919,0.096,3.524,0.049,3.796,0.015,1.602,0.032,0.999960300568268,11250.0,125.0,853.4311,134.33685
4800,56.2008923,24.28946632,18.9,-44.9,0.7,0.7,5.384,0.014,5.441,0.009,,,,,,,5.447,0.027,5.476,0.038,5.496,0.016,EAA,5.498,0.059,5.389,0.028,5.503,0.017,4.793,0.035,0.996880740315043,9500.0,125.0,130.1168,20.862398
4801,57.29673613,24.13670934,20.4,-47.5,0.8,0.8,4.939,0.014,5.028,0.009,,,,,,,5.087,0.037,5.067,0.047,4.937,0.021,EAA,4.881,0.08,4.372,0.047,4.175,0.015,3.436,0.021,0.999996731639179,10000.0,125.0,221.95058,35.199688
5318,57.96459297,18.63175421,18.8,-55.1,1.7,1.7,12.247,0.201,11.131,0.097,11.066,0.003000000026077032,11.719,0.057,10.857,0.074,9.793,0.021,9.341,0.024,9.255,0.017,AAA,9.203,0.022,9.27,0.019,9.155,0.034,8.859,0.445,0.924934587102508,5250.0,125.0,0.59734565,0.10960222
5376,59.45725769,18.56240953,21.8,-47.0,1.5,1.6,12.77,0.219,11.443,0.087,11.154,0.008999999612569809,11.769,0.028,10.975,0.076,9.984,0.027,9.528,0.024,9.45,0.018,AAA,9.363,0.024,9.404,0.022,9.269,0.034,,,0.981458666229167,5250.0,125.0,0.50432014,0.090431094
5401,60.17195686,18.68276148,21.9,-46.5,1.7,1.8,12.128,0.126,11.525,0.102,11.25,0.003000000026077032,11.803,0.023,11.048,0.047,9.985,0.024,9.58,0.025,9.489,0.018,AAA,9.436,0.023,9.464,0.021,9.5,0.046,,,0.979157924338974,5250.0,125.0,0.49246663,0.088484645
